lead_id,lead_date,campaign_name,channel,lead_source,age,age_group,gender,status,touchpoints,cost_per_lead,revenue,days_to_conversion,product_purchased,season,month,year,quarter,year_quarter,month_short,touchpoint_band
L1761,2024-08-15,Black_Friday,Instagram,Direct,21,18-24,Female,Converted,9,46.92,4995.62,5,SEO Pro,Summer,August,2024,Q3,2024Q3,Aug,7–9
L1762,2024-06-24,Summer_Blast,Email,Direct,68,55+,Female,Converted,10,12.38,1921.33,9,Social Media Manager,Summer,June,2024,Q2,2024Q2,Jun,10–12
L1763,2023-01-22,Black_Friday,Google Search,Referral,19,18-24,Male,Converted,12,61.23,1364.91,45,SEO Pro,Winter,January,2023,Q1,2023Q1,Jan,10–12
L1764,2024-11-03,Year_End_Push,YouTube,Referral,66,55+,Female,Converted,5,54.37,3753.48,50,SEO Pro,Fall,November,2024,Q4,2024Q4,Nov,4–6
L1765,2023-03-30,Back_to_School,Email,Paid Ads,32,25-34,Male,Converted,3,25.34,1279.81,21,CRM Integration,Spring,March,2023,Q1,2023Q1,Mar,1–3
L1766,2023-02-18,Summer_Blast,Google Search,Referral,49,45-54,Female,Qualified,6,77.99,0.0,0,,Winter,February,2023,Q1,2023Q1,Feb,4–6
L1767,2023-04-27,Spring_Promo,TikTok,Organic,33,25-34,Male,Qualified,2,40.35,0.0,0,,Spring,April,2023,Q2,2023Q2,Apr,1–3
L1768,2024-07-24,Back_to_School,Facebook,Referral,46,45-54,Male,Converted,3,47.35,4340.34,66,CRM Integration,Summer,July,2024,Q3,2024Q3,Jul,1–3
L1769,2024-09-16,Spring_Promo,Google Search,Organic,46,45-54,Male,Converted,2,73.64,4206.25,6,CRM Integration,Fall,September,2024,Q3,2024Q3,Sep,1–3
L1770,2024-12-26,Summer_Blast,TikTok,Referral,23,18-24,Female,Converted,9,36.83,2742.76,13,Brand Analytics Suite,Winter,December,2024,Q4,2024Q4,Dec,7–9
L1771,2024-03-01,Summer_Blast,TikTok,Organic,38,35-44,Female,Nurturing,1,43.38,0.0,0,,Spring,March,2024,Q1,2024Q1,Mar,1–3
L1772,2024-02-29,Spring_Promo,Facebook,Paid Ads,38,35-44,Male,Qualified,11,49.21,0.0,0,,Winter,February,2024,Q1,2024Q1,Feb,10–12
L1773,2024-02-28,Summer_Blast,Google Search,Paid Ads,55,55+,Female,Converted,8,76.36,4783.28,67,Social Media Manager,Winter,February,2024,Q1,2024Q1,Feb,7–9
L1774,2024-02-16,Spring_Promo,Instagram,Organic,31,25-34,Male,Qualified,3,54.64,0.0,0,,Winter,February,2024,Q1,2024Q1,Feb,1–3
L1775,2024-10-08,Year_End_Push,Instagram,Paid Ads,53,45-54,Female,New Lead,11,54.6,0.0,0,,Fall,October,2024,Q4,2024Q4,Oct,10–12
L1776,2023-12-19,New_Year_Launch,Google Search,Referral,51,45-54,Female,Converted,5,58.16,4550.94,79,Brand Analytics Suite,Winter,December,2023,Q4,2023Q4,Dec,4–6
L1777,2024-10-26,New_Year_Launch,Email,Direct,29,25-34,Male,Qualified,4,20.09,0.0,0,,Fall,October,2024,Q4,2024Q4,Oct,4–6
L1778,2023-05-10,Black_Friday,Email,Referral,22,18-24,Female,Converted,9,22.41,1777.68,12,CRM Integration,Spring,May,2023,Q2,2023Q2,May,7–9
L1779,2024-07-06,Spring_Promo,Facebook,Paid Ads,64,55+,Female,New Lead,4,53.85,0.0,0,,Summer,July,2024,Q3,2024Q3,Jul,4–6
L1780,2024-06-03,Back_to_School,Instagram,Organic,58,55+,Female,Qualified,1,42.09,0.0,0,,Summer,June,2024,Q2,2024Q2,Jun,1–3
L1781,2023-08-30,Black_Friday,Email,Organic,44,35-44,Male,Qualified,10,28.11,0.0,0,,Summer,August,2023,Q3,2023Q3,Aug,10–12
L1782,2024-08-09,New_Year_Launch,Facebook,Referral,40,35-44,Male,Converted,12,55.45,2199.5,32,Digital Ads Package,Summer,August,2024,Q3,2024Q3,Aug,10–12
L1783,2024-02-26,Summer_Blast,Google Search,Organic,38,35-44,Female,Converted,1,59.64,2411.99,17,SEO Pro,Winter,February,2024,Q1,2024Q1,Feb,1–3
L1784,2024-02-09,Year_End_Push,Facebook,Direct,21,18-24,Female,Nurturing,10,59.44,0.0,0,,Winter,February,2024,Q1,2024Q1,Feb,10–12
L1785,2023-06-16,New_Year_Launch,YouTube,Direct,52,45-54,Female,Lost,3,47.89,0.0,0,,Summer,June,2023,Q2,2023Q2,Jun,1–3
L1786,2024-04-29,New_Year_Launch,YouTube,Organic,33,25-34,Female,Qualified,3,45.65,0.0,0,,Spring,April,2024,Q2,2024Q2,Apr,1–3
L1787,2024-08-08,Spring_Promo,Email,Direct,19,18-24,Male,New Lead,9,17.79,0.0,0,,Summer,August,2024,Q3,2024Q3,Aug,7–9
L1788,2023-01-29,Back_to_School,Facebook,Referral,44,35-44,Female,Qualified,3,57.82,0.0,0,,Winter,January,2023,Q1,2023Q1,Jan,1–3
L1789,2024-05-15,Summer_Blast,Facebook,Referral,20,18-24,Male,New Lead,9,42.04,0.0,0,,Spring,May,2024,Q2,2024Q2,May,7–9
L1790,2024-04-08,Year_End_Push,Google Search,Direct,21,18-24,Male,Qualified,7,76.01,0.0,0,,Spring,April,2024,Q2,2024Q2,Apr,7–9
L1791,2023-06-02,Black_Friday,Email,Direct,31,25-34,Female,Converted,6,29.33,901.92,80,CRM Integration,Summer,June,2023,Q2,2023Q2,Jun,4–6
L1792,2024-11-17,Year_End_Push,Google Search,Referral,29,25-34,Male,New Lead,12,75.8,0.0,0,,Fall,November,2024,Q4,2024Q4,Nov,10–12
L1793,2024-12-25,Year_End_Push,YouTube,Organic,26,25-34,Male,Nurturing,11,51.18,0.0,0,,Winter,December,2024,Q4,2024Q4,Dec,10–12
L1794,2024-05-02,Year_End_Push,Email,Organic,26,25-34,Male,Nurturing,1,22.05,0.0,0,,Spring,May,2024,Q2,2024Q2,May,1–3
L1795,2024-08-16,Summer_Blast,Facebook,Paid Ads,18,18-24,Female,Converted,9,50.88,3230.85,52,CRM Integration,Summer,August,2024,Q3,2024Q3,Aug,7–9
L1796,2024-06-24,Summer_Blast,Facebook,Direct,18,18-24,Male,Nurturing,5,48.35,0.0,0,,Summer,June,2024,Q2,2024Q2,Jun,4–6
L1797,2023-09-19,Back_to_School,Email,Paid Ads,20,18-24,Female,New Lead,3,27.37,0.0,0,,Fall,September,2023,Q3,2023Q3,Sep,1–3
L1798,2023-03-01,Summer_Blast,Instagram,Referral,30,25-34,Male,New Lead,2,40.96,0.0,0,,Spring,March,2023,Q1,2023Q1,Mar,1–3
L1799,2023-05-04,Black_Friday,Facebook,Referral,54,45-54,Male,Lost,4,43.04,0.0,0,,Spring,May,2023,Q2,2023Q2,May,4–6
L1800,2023-11-22,Spring_Promo,Email,Direct,46,45-54,Female,Qualified,7,21.3,0.0,0,,Fall,November,2023,Q4,2023Q4,Nov,7–9
L1801,2024-08-23,Spring_Promo,Google Search,Paid Ads,24,18-24,Male,Qualified,4,71.5,0.0,0,,Summer,August,2024,Q3,2024Q3,Aug,4–6
L1802,2024-10-13,Black_Friday,Email,Direct,40,35-44,Male,New Lead,3,22.01,0.0,0,,Fall,October,2024,Q4,2024Q4,Oct,1–3
L1803,2023-01-02,Year_End_Push,Email,Direct,29,25-34,Male,Nurturing,10,28.25,0.0,0,,Winter,January,2023,Q1,2023Q1,Jan,10–12
L1804,2024-11-27,Back_to_School,Instagram,Direct,24,18-24,Male,Nurturing,6,42.6,0.0,0,,Fall,November,2024,Q4,2024Q4,Nov,4–6
L1805,2024-06-30,Spring_Promo,Email,Referral,57,55+,Female,New Lead,5,23.26,0.0,0,,Summer,June,2024,Q2,2024Q2,Jun,4–6
L1806,2024-05-31,Black_Friday,TikTok,Referral,23,18-24,Female,Qualified,6,47.15,0.0,0,,Spring,May,2024,Q2,2024Q2,May,4–6
L1807,2023-11-26,Back_to_School,YouTube,Direct,44,35-44,Female,Qualified,8,51.83,0.0,0,,Fall,November,2023,Q4,2023Q4,Nov,7–9
L1808,2024-09-15,New_Year_Launch,YouTube,Paid Ads,23,18-24,Male,Lost,1,54.53,0.0,0,,Fall,September,2024,Q3,2024Q3,Sep,1–3
L1809,2024-10-26,Black_Friday,Email,Direct,45,45-54,Female,Nurturing,9,25.03,0.0,0,,Fall,October,2024,Q4,2024Q4,Oct,7–9
L1810,2023-07-01,Year_End_Push,Facebook,Direct,18,18-24,Male,Qualified,12,58.78,0.0,0,,Summer,July,2023,Q3,2023Q3,Jul,10–12
L1811,2023-01-21,Black_Friday,Facebook,Paid Ads,50,45-54,Male,New Lead,11,57.17,0.0,0,,Winter,January,2023,Q1,2023Q1,Jan,10–12
L1812,2024-05-20,New_Year_Launch,Email,Referral,20,18-24,Female,Qualified,1,31.35,0.0,0,,Spring,May,2024,Q2,2024Q2,May,1–3
L1813,2024-10-15,Summer_Blast,TikTok,Organic,70,55+,Male,Lost,5,35.92,0.0,0,,Fall,October,2024,Q4,2024Q4,Oct,4–6
L1814,2023-03-08,Spring_Promo,TikTok,Paid Ads,62,55+,Female,Nurturing,10,30.55,0.0,0,,Spring,March,2023,Q1,2023Q1,Mar,10–12
L1815,2024-09-21,New_Year_Launch,YouTube,Organic,25,25-34,Female,Converted,9,50.06,4473.96,1,SEO Pro,Fall,September,2024,Q3,2024Q3,Sep,7–9
L1816,2024-04-22,Spring_Promo,Google Search,Referral,49,45-54,Female,Converted,9,67.91,3915.6,29,Digital Ads Package,Spring,April,2024,Q2,2024Q2,Apr,7–9
L1817,2023-12-09,Spring_Promo,Google Search,Referral,55,55+,Male,Qualified,10,59.64,0.0,0,,Winter,December,2023,Q4,2023Q4,Dec,10–12
L1818,2023-11-15,Summer_Blast,Instagram,Paid Ads,46,45-54,Male,New Lead,11,36.26,0.0,0,,Fall,November,2023,Q4,2023Q4,Nov,10–12
L1819,2023-12-09,Year_End_Push,Google Search,Organic,45,45-54,Female,Converted,4,74.81,985.28,31,Social Media Manager,Winter,December,2023,Q4,2023Q4,Dec,4–6
L1820,2023-04-08,Year_End_Push,TikTok,Organic,58,55+,Male,Nurturing,10,40.51,0.0,0,,Spring,April,2023,Q2,2023Q2,Apr,10–12
L1821,2024-12-11,Back_to_School,Instagram,Direct,20,18-24,Female,Converted,3,36.3,779.01,57,Digital Ads Package,Winter,December,2024,Q4,2024Q4,Dec,1–3
L1822,2024-01-26,Year_End_Push,Instagram,Organic,24,18-24,Female,New Lead,10,43.03,0.0,0,,Winter,January,2024,Q1,2024Q1,Jan,10–12
L1823,2024-03-14,Black_Friday,Email,Organic,26,25-34,Female,Qualified,10,29.6,0.0,0,,Spring,March,2024,Q1,2024Q1,Mar,10–12
L1824,2023-04-16,Year_End_Push,Google Search,Referral,18,18-24,Male,New Lead,12,58.25,0.0,0,,Spring,April,2023,Q2,2023Q2,Apr,10–12
L1825,2024-09-27,Back_to_School,TikTok,Referral,59,55+,Male,Nurturing,4,36.89,0.0,0,,Fall,September,2024,Q3,2024Q3,Sep,4–6
L1826,2024-10-29,Year_End_Push,TikTok,Referral,22,18-24,Male,Nurturing,5,43.09,0.0,0,,Fall,October,2024,Q4,2024Q4,Oct,4–6
L1827,2024-01-13,Year_End_Push,Google Search,Referral,34,25-34,Male,Qualified,9,77.41,0.0,0,,Winter,January,2024,Q1,2024Q1,Jan,7–9
L1828,2023-07-25,Black_Friday,TikTok,Organic,24,18-24,Male,Qualified,4,40.81,0.0,0,,Summer,July,2023,Q3,2023Q3,Jul,4–6
L1829,2024-04-23,New_Year_Launch,TikTok,Direct,44,35-44,Female,Converted,6,40.0,4334.04,73,Social Media Manager,Spring,April,2024,Q2,2024Q2,Apr,4–6
L1830,2023-02-13,Spring_Promo,Facebook,Paid Ads,48,45-54,Male,Nurturing,1,51.92,0.0,0,,Winter,February,2023,Q1,2023Q1,Feb,1–3
L1831,2023-12-06,Summer_Blast,Email,Paid Ads,48,45-54,Female,Nurturing,7,28.15,0.0,0,,Winter,December,2023,Q4,2023Q4,Dec,7–9
L1832,2023-01-31,Spring_Promo,Instagram,Referral,29,25-34,Female,New Lead,3,46.09,0.0,0,,Winter,January,2023,Q1,2023Q1,Jan,1–3
L1833,2023-07-23,Spring_Promo,YouTube,Referral,28,25-34,Female,Lost,3,48.96,0.0,0,,Summer,July,2023,Q3,2023Q3,Jul,1–3
L1834,2023-06-30,Summer_Blast,Facebook,Paid Ads,25,25-34,Male,New Lead,2,58.86,0.0,0,,Summer,June,2023,Q2,2023Q2,Jun,1–3
L1835,2023-11-09,Back_to_School,YouTube,Organic,50,45-54,Male,Lost,6,54.12,0.0,0,,Fall,November,2023,Q4,2023Q4,Nov,4–6
L1836,2023-05-28,New_Year_Launch,Email,Direct,61,55+,Male,New Lead,3,29.65,0.0,0,,Spring,May,2023,Q2,2023Q2,May,1–3
L1837,2024-10-13,Back_to_School,Google Search,Referral,61,55+,Female,Nurturing,1,62.89,0.0,0,,Fall,October,2024,Q4,2024Q4,Oct,1–3
L1838,2023-10-14,Spring_Promo,Facebook,Paid Ads,34,25-34,Female,Nurturing,9,59.46,0.0,0,,Fall,October,2023,Q4,2023Q4,Oct,7–9
L1839,2024-09-21,Black_Friday,YouTube,Organic,30,25-34,Female,Converted,9,46.3,2246.52,83,CRM Integration,Fall,September,2024,Q3,2024Q3,Sep,7–9
L1840,2024-06-22,Back_to_School,Google Search,Paid Ads,67,55+,Male,Converted,12,71.89,4800.88,61,Social Media Manager,Summer,June,2024,Q2,2024Q2,Jun,10–12
L1841,2024-02-10,Black_Friday,TikTok,Paid Ads,30,25-34,Female,Converted,7,32.37,4499.19,74,Brand Analytics Suite,Winter,February,2024,Q1,2024Q1,Feb,7–9
L1842,2024-06-15,Spring_Promo,Instagram,Paid Ads,56,55+,Female,Qualified,10,42.03,0.0,0,,Summer,June,2024,Q2,2024Q2,Jun,10–12
L1843,2024-03-18,Black_Friday,Email,Referral,65,55+,Female,Nurturing,8,20.18,0.0,0,,Spring,March,2024,Q1,2024Q1,Mar,7–9
L1844,2024-10-22,Black_Friday,Instagram,Paid Ads,49,45-54,Male,Qualified,2,36.52,0.0,0,,Fall,October,2024,Q4,2024Q4,Oct,1–3
L1845,2023-02-09,Spring_Promo,TikTok,Organic,38,35-44,Female,New Lead,6,38.92,0.0,0,,Winter,February,2023,Q1,2023Q1,Feb,4–6
L1846,2023-05-22,Summer_Blast,Facebook,Referral,39,35-44,Female,Converted,12,61.97,3829.19,34,Digital Ads Package,Spring,May,2023,Q2,2023Q2,May,10–12
L1847,2023-01-13,Year_End_Push,Google Search,Direct,38,35-44,Male,Converted,9,67.44,4951.74,20,SEO Pro,Winter,January,2023,Q1,2023Q1,Jan,7–9
L1848,2024-07-19,Year_End_Push,Google Search,Paid Ads,32,25-34,Female,Nurturing,12,73.15,0.0,0,,Summer,July,2024,Q3,2024Q3,Jul,10–12
L1849,2024-12-15,Black_Friday,Facebook,Paid Ads,20,18-24,Male,Converted,8,50.35,2524.87,72,Digital Ads Package,Winter,December,2024,Q4,2024Q4,Dec,7–9
L1850,2024-11-05,New_Year_Launch,TikTok,Referral,62,55+,Female,New Lead,6,44.69,0.0,0,,Fall,November,2024,Q4,2024Q4,Nov,4–6
L1851,2023-11-30,New_Year_Launch,YouTube,Direct,45,45-54,Male,Nurturing,10,56.74,0.0,0,,Fall,November,2023,Q4,2023Q4,Nov,10–12
L1852,2024-02-05,Black_Friday,Facebook,Direct,28,25-34,Female,Qualified,7,43.27,0.0,0,,Winter,February,2024,Q1,2024Q1,Feb,7–9
L1853,2023-04-06,New_Year_Launch,Facebook,Direct,21,18-24,Male,Converted,11,45.43,2988.08,5,CRM Integration,Spring,April,2023,Q2,2023Q2,Apr,10–12
L1854,2023-08-27,Black_Friday,TikTok,Organic,26,25-34,Female,Qualified,9,33.82,0.0,0,,Summer,August,2023,Q3,2023Q3,Aug,7–9
L1855,2024-02-25,Summer_Blast,Facebook,Organic,19,18-24,Female,Qualified,2,49.82,0.0,0,,Winter,February,2024,Q1,2024Q1,Feb,1–3
L1856,2023-07-31,Black_Friday,YouTube,Organic,49,45-54,Female,Lost,4,47.6,0.0,0,,Summer,July,2023,Q3,2023Q3,Jul,4–6
L1857,2024-12-02,Year_End_Push,TikTok,Referral,45,45-54,Male,Qualified,4,37.18,0.0,0,,Winter,December,2024,Q4,2024Q4,Dec,4–6
L1858,2024-06-22,Year_End_Push,Instagram,Direct,54,45-54,Male,Converted,10,41.58,4456.58,59,SEO Pro,Summer,June,2024,Q2,2024Q2,Jun,10–12
L1859,2024-12-29,Back_to_School,Facebook,Direct,19,18-24,Male,Converted,7,57.85,3258.62,23,SEO Pro,Winter,December,2024,Q4,2024Q4,Dec,7–9
L1860,2024-11-05,Black_Friday,YouTube,Direct,58,55+,Female,Qualified,10,48.67,0.0,0,,Fall,November,2024,Q4,2024Q4,Nov,10–12
L1861,2024-07-04,Back_to_School,TikTok,Paid Ads,21,18-24,Male,Converted,2,33.84,3641.2,28,SEO Pro,Summer,July,2024,Q3,2024Q3,Jul,1–3
L1862,2023-11-30,Year_End_Push,Instagram,Organic,42,35-44,Male,Converted,3,43.2,1637.45,65,Digital Ads Package,Fall,November,2023,Q4,2023Q4,Nov,1–3
L1863,2024-02-13,Black_Friday,YouTube,Direct,18,18-24,Male,Qualified,7,62.12,0.0,0,,Winter,February,2024,Q1,2024Q1,Feb,7–9
L1864,2024-04-20,Back_to_School,Instagram,Paid Ads,42,35-44,Male,Converted,2,44.7,871.47,85,Brand Analytics Suite,Spring,April,2024,Q2,2024Q2,Apr,1–3
L1865,2024-09-13,Summer_Blast,Facebook,Paid Ads,46,45-54,Male,Converted,5,44.01,1058.68,51,Brand Analytics Suite,Fall,September,2024,Q3,2024Q3,Sep,4–6
L1866,2023-02-05,Back_to_School,TikTok,Direct,38,35-44,Female,New Lead,9,45.85,0.0,0,,Winter,February,2023,Q1,2023Q1,Feb,7–9
L1867,2024-03-30,Black_Friday,YouTube,Organic,19,18-24,Female,Converted,1,46.05,718.99,49,Brand Analytics Suite,Spring,March,2024,Q1,2024Q1,Mar,1–3
L1868,2023-01-15,Spring_Promo,TikTok,Organic,26,25-34,Male,Nurturing,4,34.74,0.0,0,,Winter,January,2023,Q1,2023Q1,Jan,4–6
L1869,2024-03-01,New_Year_Launch,YouTube,Paid Ads,20,18-24,Male,New Lead,6,55.25,0.0,0,,Spring,March,2024,Q1,2024Q1,Mar,4–6
L1870,2023-08-07,Black_Friday,TikTok,Direct,60,55+,Male,New Lead,6,30.12,0.0,0,,Summer,August,2023,Q3,2023Q3,Aug,4–6
L1871,2024-04-14,Spring_Promo,YouTube,Referral,49,45-54,Female,Qualified,11,49.4,0.0,0,,Spring,April,2024,Q2,2024Q2,Apr,10–12
L1872,2024-09-05,Black_Friday,Instagram,Paid Ads,23,18-24,Male,Qualified,2,44.99,0.0,0,,Fall,September,2024,Q3,2024Q3,Sep,1–3
L1873,2024-11-25,New_Year_Launch,Instagram,Referral,42,35-44,Male,Converted,12,53.49,1098.19,23,Social Media Manager,Fall,November,2024,Q4,2024Q4,Nov,10–12
L1874,2023-08-27,Black_Friday,Instagram,Direct,35,35-44,Male,Nurturing,12,45.07,0.0,0,,Summer,August,2023,Q3,2023Q3,Aug,10–12
L1875,2024-03-14,Back_to_School,Email,Organic,18,18-24,Male,Qualified,10,27.14,0.0,0,,Spring,March,2024,Q1,2024Q1,Mar,10–12
L1876,2024-01-20,Back_to_School,Facebook,Direct,28,25-34,Female,Qualified,1,46.09,0.0,0,,Winter,January,2024,Q1,2024Q1,Jan,1–3
L1877,2023-02-10,Back_to_School,TikTok,Referral,39,35-44,Male,Nurturing,7,38.42,0.0,0,,Winter,February,2023,Q1,2023Q1,Feb,7–9
L1878,2024-07-06,Back_to_School,YouTube,Referral,28,25-34,Male,Qualified,11,46.08,0.0,0,,Summer,July,2024,Q3,2024Q3,Jul,10–12
L1879,2023-01-07,Summer_Blast,Google Search,Referral,57,55+,Male,Nurturing,8,59.29,0.0,0,,Winter,January,2023,Q1,2023Q1,Jan,7–9
L1880,2023-06-27,Summer_Blast,YouTube,Paid Ads,19,18-24,Male,New Lead,4,56.85,0.0,0,,Summer,June,2023,Q2,2023Q2,Jun,4–6
L1881,2023-07-22,Back_to_School,YouTube,Direct,54,45-54,Male,New Lead,3,49.9,0.0,0,,Summer,July,2023,Q3,2023Q3,Jul,1–3
L1882,2024-05-07,New_Year_Launch,Facebook,Direct,41,35-44,Female,Qualified,6,43.6,0.0,0,,Spring,May,2024,Q2,2024Q2,May,4–6
L1883,2024-03-19,Black_Friday,Google Search,Direct,25,25-34,Female,Nurturing,8,73.21,0.0,0,,Spring,March,2024,Q1,2024Q1,Mar,7–9
L1884,2024-07-20,Year_End_Push,Instagram,Referral,51,45-54,Female,Nurturing,5,49.53,0.0,0,,Summer,July,2024,Q3,2024Q3,Jul,4–6
L1885,2024-05-07,Black_Friday,Google Search,Referral,42,35-44,Male,Nurturing,3,59.44,0.0,0,,Spring,May,2024,Q2,2024Q2,May,1–3
L1886,2024-01-19,Spring_Promo,TikTok,Organic,32,25-34,Female,Converted,7,37.83,4731.28,48,SEO Pro,Winter,January,2024,Q1,2024Q1,Jan,7–9
L1887,2023-05-08,Spring_Promo,Instagram,Direct,60,55+,Male,Lost,10,42.7,0.0,0,,Spring,May,2023,Q2,2023Q2,May,10–12
L1888,2024-10-12,Year_End_Push,Facebook,Referral,48,45-54,Male,Converted,12,55.77,759.67,50,SEO Pro,Fall,October,2024,Q4,2024Q4,Oct,10–12
L1889,2023-01-29,New_Year_Launch,Instagram,Referral,47,45-54,Female,Converted,11,48.95,1165.48,78,SEO Pro,Winter,January,2023,Q1,2023Q1,Jan,10–12
L1890,2023-04-05,Spring_Promo,Email,Paid Ads,31,25-34,Male,New Lead,7,24.89,0.0,0,,Spring,April,2023,Q2,2023Q2,Apr,7–9
L1891,2023-09-16,Summer_Blast,TikTok,Direct,64,55+,Female,Converted,9,41.84,4854.58,85,SEO Pro,Fall,September,2023,Q3,2023Q3,Sep,7–9
L1892,2023-08-03,Summer_Blast,Instagram,Referral,23,18-24,Female,Qualified,7,53.6,0.0,0,,Summer,August,2023,Q3,2023Q3,Aug,7–9
L1893,2024-12-14,Spring_Promo,TikTok,Direct,23,18-24,Female,New Lead,7,36.36,0.0,0,,Winter,December,2024,Q4,2024Q4,Dec,7–9
L1894,2023-05-18,Back_to_School,TikTok,Paid Ads,53,45-54,Male,New Lead,3,31.96,0.0,0,,Spring,May,2023,Q2,2023Q2,May,1–3
L1895,2023-07-07,Summer_Blast,Email,Paid Ads,49,45-54,Female,Qualified,4,28.18,0.0,0,,Summer,July,2023,Q3,2023Q3,Jul,4–6
L1896,2023-10-28,New_Year_Launch,YouTube,Organic,49,45-54,Male,New Lead,2,46.71,0.0,0,,Fall,October,2023,Q4,2023Q4,Oct,1–3
L1897,2023-04-14,Black_Friday,Instagram,Paid Ads,35,35-44,Male,Nurturing,5,35.19,0.0,0,,Spring,April,2023,Q2,2023Q2,Apr,4–6
L1898,2023-09-30,Black_Friday,TikTok,Organic,24,18-24,Female,Nurturing,8,46.64,0.0,0,,Fall,September,2023,Q3,2023Q3,Sep,7–9
L1899,2023-12-18,Back_to_School,Google Search,Referral,67,55+,Male,Converted,4,77.99,4734.46,86,SEO Pro,Winter,December,2023,Q4,2023Q4,Dec,4–6
L1900,2024-12-16,Spring_Promo,Facebook,Organic,35,35-44,Male,Nurturing,3,50.04,0.0,0,,Winter,December,2024,Q4,2024Q4,Dec,1–3
L1901,2024-12-03,Back_to_School,Facebook,Paid Ads,68,55+,Male,Nurturing,8,55.18,0.0,0,,Winter,December,2024,Q4,2024Q4,Dec,7–9
L1902,2023-02-16,Spring_Promo,YouTube,Referral,20,18-24,Female,Nurturing,12,64.39,0.0,0,,Winter,February,2023,Q1,2023Q1,Feb,10–12
L1903,2023-03-25,Black_Friday,Email,Direct,31,25-34,Female,Converted,8,18.97,4940.92,90,Digital Ads Package,Spring,March,2023,Q1,2023Q1,Mar,7–9
L1904,2024-05-31,Year_End_Push,TikTok,Paid Ads,69,55+,Male,Converted,8,28.63,4085.69,39,CRM Integration,Spring,May,2024,Q2,2024Q2,May,7–9
L1905,2023-09-07,New_Year_Launch,Instagram,Direct,46,45-54,Male,Nurturing,11,39.23,0.0,0,,Fall,September,2023,Q3,2023Q3,Sep,10–12
L1906,2023-12-01,Summer_Blast,YouTube,Organic,48,45-54,Female,Lost,5,63.05,0.0,0,,Winter,December,2023,Q4,2023Q4,Dec,4–6
L1907,2024-07-01,New_Year_Launch,YouTube,Organic,46,45-54,Female,New Lead,8,57.67,0.0,0,,Summer,July,2024,Q3,2024Q3,Jul,7–9
L1908,2024-01-26,New_Year_Launch,Email,Organic,31,25-34,Male,Qualified,9,25.08,0.0,0,,Winter,January,2024,Q1,2024Q1,Jan,7–9
L1909,2023-04-02,Back_to_School,Facebook,Organic,28,25-34,Male,New Lead,10,48.8,0.0,0,,Spring,April,2023,Q2,2023Q2,Apr,10–12
L1910,2024-08-13,Back_to_School,Facebook,Paid Ads,56,55+,Male,Lost,5,56.74,0.0,0,,Summer,August,2024,Q3,2024Q3,Aug,4–6
L1911,2023-05-10,Back_to_School,Google Search,Referral,45,45-54,Female,Converted,10,68.4,3158.49,14,SEO Pro,Spring,May,2023,Q2,2023Q2,May,10–12
L1912,2024-04-11,Summer_Blast,TikTok,Referral,37,35-44,Male,Nurturing,5,30.95,0.0,0,,Spring,April,2024,Q2,2024Q2,Apr,4–6
L1913,2023-05-07,Year_End_Push,Facebook,Referral,70,55+,Male,Lost,12,47.47,0.0,0,,Spring,May,2023,Q2,2023Q2,May,10–12
L1914,2023-12-08,Spring_Promo,Facebook,Direct,48,45-54,Male,Lost,12,45.05,0.0,0,,Winter,December,2023,Q4,2023Q4,Dec,10–12
L1915,2024-11-06,New_Year_Launch,TikTok,Direct,18,18-24,Female,Qualified,3,46.25,0.0,0,,Fall,November,2024,Q4,2024Q4,Nov,1–3
L1916,2024-02-05,Back_to_School,Google Search,Direct,43,35-44,Female,Converted,12,59.44,1773.68,90,Brand Analytics Suite,Winter,February,2024,Q1,2024Q1,Feb,10–12
L1917,2023-02-25,Year_End_Push,TikTok,Referral,22,18-24,Male,Converted,12,45.0,1868.33,84,Brand Analytics Suite,Winter,February,2023,Q1,2023Q1,Feb,10–12
L1918,2023-08-03,Back_to_School,YouTube,Direct,50,45-54,Male,Converted,12,49.36,1380.45,84,Digital Ads Package,Summer,August,2023,Q3,2023Q3,Aug,10–12
L1919,2023-02-27,New_Year_Launch,Google Search,Direct,33,25-34,Female,Converted,8,59.92,1308.35,7,Digital Ads Package,Winter,February,2023,Q1,2023Q1,Feb,7–9
L1920,2023-09-08,New_Year_Launch,Google Search,Paid Ads,60,55+,Female,Converted,4,58.68,2284.9,39,CRM Integration,Fall,September,2023,Q3,2023Q3,Sep,4–6
L1921,2024-03-31,Back_to_School,Google Search,Direct,18,18-24,Male,Nurturing,2,65.35,0.0,0,,Spring,March,2024,Q1,2024Q1,Mar,1–3
L1922,2024-08-09,Spring_Promo,Google Search,Paid Ads,23,18-24,Male,Nurturing,12,67.59,0.0,0,,Summer,August,2024,Q3,2024Q3,Aug,10–12
L1923,2024-12-20,Black_Friday,TikTok,Direct,59,55+,Male,Lost,10,36.67,0.0,0,,Winter,December,2024,Q4,2024Q4,Dec,10–12
L1924,2023-01-21,Black_Friday,Instagram,Paid Ads,36,35-44,Male,Converted,9,42.88,4025.64,68,SEO Pro,Winter,January,2023,Q1,2023Q1,Jan,7–9
L1925,2024-12-12,Summer_Blast,YouTube,Organic,25,25-34,Male,Converted,9,48.6,2512.55,41,Digital Ads Package,Winter,December,2024,Q4,2024Q4,Dec,7–9
